species,dropped_tips
Astragalus_pavlovii,Astragalus_pavlovii
Astragalus_pediculariformis,Astragalus_pediculariformis
Astragalus_pelecinus_subsp_leiocarpus,Astragalus_pelecinus_subsp_leiocarpus
Astragalus_peregrinus_subsp_peregrinus,Astragalus_peregrinus_subsp_peregrinus
Astragalus_peregrinus_subsp_warionis,Astragalus_peregrinus_subsp_warionis
Astragalus_petropylensis,Astragalus_petropylensis
Astragalus_phlomoides,Astragalus_phlomoides
Astragalus_podoloboides,Astragalus_podoloboides
Astragalus_praeteritus,Astragalus_praeteritus
Astragalus_proimanthus,Astragalus_proimanthus
Astragalus_prosgaeus,Astragalus_prosgaeus
Astragalus_pseudorhacodes,Astragalus_pseudorhacodes
Astragalus_pterocephalus,Astragalus_pterocephalus
Astragalus_qeydarnabiensis,Astragalus_qeydarnabiensis
Astragalus_qorvehensis,Astragalus_qorvehensis
Astragalus_quisqualis,Astragalus_quisqualis
Astragalus_raphaelis,Astragalus_raphaelis
Astragalus_remotiflorus_subsp_melanogramma,Astragalus_remotiflorus_subsp_melanogramma
Astragalus_remotiflorus_subsp_nigrohirsutus,Astragalus_remotiflorus_subsp_nigrohirsutus
Astragalus_remotispicatus,Astragalus_remotispicatus
Astragalus_romasanus,Astragalus_romasanus
Astragalus_rubrifolius,Astragalus_rubrifolius
Astragalus_rubtzovii,Astragalus_rubtzovii
Astragalus_sanctorum,Astragalus_sanctorum
Astragalus_schachdarinus,Astragalus_schachdarinus
Astragalus_sclerocladus,Astragalus_sclerocladus
Astragalus_semenovii,Astragalus_semenovii
Astragalus_sewertzovii,Astragalus_sewertzovii
Astragalus_sikokianus,Astragalus_sikokianus
Astragalus_simakanensis,Astragalus_simakanensis
Astragalus_sosnowskyi,Astragalus_sosnowskyi
Astragalus_spachianus,Astragalus_spachianus
Astragalus_stevenianus_subsp_glochideus,Astragalus_stevenianus_subsp_glochideus
Astragalus_strictifolius,Astragalus_strictifolius
Astragalus_suberosus_subsp_suberosus,Astragalus_suberosus_subsp_suberosus
Astragalus_subkohrudicus,Astragalus_subkohrudicus
Astragalus_sympileicalycinus,Astragalus_sympileicalycinus
Astragalus_tabrizianus,Astragalus_tabrizianus
Astragalus_tawilicus,Astragalus_tawilicus
Astragalus_tephrolobus,Astragalus_tephrolobus
Astragalus_touranicus,Astragalus_touranicus
Astragalus_trachycarpus,Astragalus_trachycarpus
Astragalus_transoxanus,Astragalus_transoxanus
Astragalus_tricholobus_subsp_tricholobus,Astragalus_tricholobus_subsp_tricholobus
Astragalus_tugarinovi,Astragalus_tugarinovi
Astragalus_turkmenensis,Astragalus_turkmenensis
Astragalus_turkmenorum,Astragalus_turkmenorum
Astragalus_vagus,Astragalus_vagus
Astragalus_veiskaramii,Astragalus_veiskaramii
Astragalus_velenovskyi,Astragalus_velenovskyi
Astragalus_versicolor,Astragalus_versicolor
Astragalus_vesicarius_subsp_albidus,Astragalus_vesicarius_subsp_albidus
Astragalus_vesicarius_subsp_carniolicus,Astragalus_vesicarius_subsp_carniolicus
Astragalus_vesicarius_subsp_pastellianus,Astragalus_vesicarius_subsp_pastellianus
Astragalus_viridiflorus,Astragalus_viridiflorus
Astragalus_xiphidioides,Astragalus_xiphidioides
Astragalus_yazdii,Astragalus_yazdii
Astragalus_yilmazii,Astragalus_yilmazii
Astragalus_zachlensis,Astragalus_zachlensis
Astragalus_zoshkensis,Astragalus_zoshkensis
Ateleia_truncata,Ateleia_truncata
Auerodendron_acunae,Auerodendron_acunae
Auerodendron_cubense,Auerodendron_cubense
Australina_acuminata,Australina_acuminata
Australina_caffra,Australina_caffra
Australina_lanceolata,Australina_lanceolata
Baphia_massaiensis_subsp_massaiensis,Baphia_massaiensis_subsp_massaiensis
Baphia_punctulata_subsp_descampsii,Baphia_punctulata_subsp_descampsii
Baphia_sp,Baphia_sp
Baptisia_bushii,Baptisia_bushii
Bauhinia_glauca_subsp_glauca,Bauhinia_glauca_subsp_glauca
Bauhinia_longistipes,Bauhinia_longistipes
Bauhinia_unifolia,Bauhinia_unifolia
Begonia_aceroides,Begonia_aceroides
Begonia_alba,Begonia_alba
Begonia_albopicta,Begonia_albopicta
Begonia_alpina,Begonia_alpina
Begonia_amphioxus,Begonia_amphioxus
Begonia_arboreta,Begonia_arboreta
Begonia_auritistipula,Begonia_auritistipula
Begonia_beddomei,Begonia_beddomei
Begonia_brevipes,Begonia_brevipes
Begonia_calcicola,Begonia_calcicola
Begonia_castilloi,Begonia_castilloi
Begonia_chlorosticta,Begonia_chlorosticta
Begonia_cowellii,Begonia_cowellii
Begonia_crassicaulis,Begonia_crassicaulis
Begonia_crassirostris,Begonia_crassirostris
Begonia_crispipila,Begonia_crispipila
Begonia_crystallina,Begonia_crystallina
Begonia_dipetala,Begonia_dipetala
