Names	Index
Quercus_semecarpifolia	271.905
Crotalaria_boehmii	52.5
Lithocarpus_obtusifolius	147
Ficus_auriculata	242.977
Dalea_pogonanthera	97
Desmodium_kaalense	58.5
Ficus_umbonata	85.5
Chamaecrista_jacobinea	119.6
Gompholobium_villosum	108.078
Prunus_pulgarensis	232
Astragalus_multiceps	135
Hydrochorea_corymbosa	47
Dalbergia_assamica	73.5
Ototropis_multiflora	248.693
Malus_manshurica	128.261
Hemsleya_panlongqi	80.5
Amphithalea_sericea	109.625
Vigna_gracilis	101.5
Polylepis_quindiensis	275.5
Cudrania_javanensis	178.5
Cercis_chingii	100.333
Rubus_gressittii	78.25
Campylotropis_wilsonii	214
Bauhinia_coriifolia	0
Pilea_lapestris	440.222
Pomaderris_rugosa	263.162
Machaerium_bondaense	127
Filipendula_ulmaria	359.08
Pilea_opaca	0
Phaseolus_dumosus	264.441
Gynostemma_intermedium	242.75
Albizia_suluensis	105.167
Senegalia_eriocarpa	53.2
Rubus_fuckelii	0
Cotoneaster_hupehensis	181.308
Cojoba_catenata	121.5
Chrysolepis_convexa	146
Astragalus_iselyi	115.941
Daviesia_articulata	52.4722
Lespedeza_nuttallii	181.528
Deguelia_picta	72.3333
Ibervillea_lindheimeri	125.093
Canavalia_macropleura	121
Pilea_spruceana	156
Pyrus_ussuriensis	222.226
Microcharis_karinensis	101.6
Astragalus_angulosus	128.8
Alchemilla_capensis	131.75
Lupinus_partisans	101.5
Jaffrea_xerocarpa	199.05
Astragalus_sutchuenensis	165.375
Tephrosia_conzattii	220.917
Pomaderris_tropica	139.3
Mucuna_lamellata	111.875
Alchemilla_tianschanica	123.667
Pterocarpus_indicus	211.829
Polygala_rehmannii	117.81
Aphananthe_philippinensis	160.826
Rubus_ritozanensis	235.333
Lupinus_sufferrugineus	0
Myrica_quercifolia	95.6667
Chorizema_dicksonii	83.3333
Pyrus_coronaria	121.6
Hedysarum_damghanicum	46.5
Parartocarpus_bracteatus	196
Senna_pneumatica	159.667
Gompholobium_huegelii	142.084
Betula_verrucosa	301.667
Prunus_dielsiana	165.857
Securidaca_pubescens	50
Jacksonia_dilatata	86.5242
Loesenera_talbotii	212.267
Potentilla_subviscosa	132.532
Hylodesmum_oldhamii	250.529
Phyllolobium_tribulifolium	83
