species,DR
Pellionia_daveauana,0.27100150647796
Procris_pedunculata,0.112002570044824
Elatostema_australe,0.996764376653161
Elatostema_vitiense,0.996764376653161
Elatostema_weinlandii,0.523285620587925
Elatostema_megaphyllum,0.297942926978015
Elatostema_raapii,0.210756372444353
Elatostema_parasiticum,0.170494727222624
Elatostema_vittatum,0.395623961783662
Elatostema_lonchophyllum,0.395623961783662
Pellionia_tsoongii,0.21055847469843
Myriocarpa_bifurca,3.22849093177499
Myriocarpa_cordifolia,3.22849093177499
Myriocarpa_heterospicata,2.27837416131339
Myriocarpa_longipes,1.46003743822992
Myriocarpa_laevigata,0.858476030399679
Myriocarpa_trifurca,0.490949161851341
Myriocarpa_tatei,0.272255635562301
Gyrotaenia_myriocarpa,1.03001288870602
Gyrotaenia_trujilloana,1.03001288870602
Gyrotaenia_microcarpa,0.532070191480643
Gyrotaenia_spicata,0.290191816862589
Myriocarpa_obovata,0.0836822590403949
Boehmeria_japonica,1.54221840508528
Boehmeria_tricuspis,1.54221840508528
Boehmeria_gracilis,0.822300675271322
Boehmeria_silvestrii,0.46849744431909
Boehmeria_biloba,0.376991263814465
Boehmeria_arenicola,0.376991263814465
Boehmeria_pannosa,0.359573527713063
Boehmeria_platanifolia,0.359573527713063
Boehmeria_sieboldiana,0.18115673825663
Boehmeria_boninensis,0.330999954924814
Boehmeria_densiflora,0.330999954924814
Boehmeria_grandissima,2.09417456127054
Boehmeria_quelpaertensis,2.09417456127054
Boehmeria_kiusiana,1.05499340508217
Boehmeria_dura,0.54584841547805
Boehmeria_nakashimae,0.295588819097941
Boehmeria_cylindrica,0.237473521634264
Boehmeria_grandis,0.237473521634264
Boehmeria_pilosiuscula,0.364611328936256
Boehmeria_tsaratananensis,0.364611328936256
Boehmeria_siamensis,0.232178442395984
Boehmeria_macrophylla,0.280551183733522
Boehmeria_virgata,0.280551183733522
Boehmeria_brevirostris,0.157795808225804
Boehmeria_densiglomerata,0.154899640224065
Boehmeria_ingjiangensis,0.149604233265467
Boehmeria_clidemioides,0.142154419487646
Boehmeria_pseudotricuspis,0.732235644006304
Boehmeria_umbrosa,0.732235644006304
Boehmeria_allophylla,0.412171564335604
Boehmeria_penduliflora,0.22803346112807
Boehmeria_pavonii,0.329680888655938
Boehmeria_ulmifolia,0.329680888655938
Boehmeria_aspera,0.300423504241892
Boehmeria_caudata,0.283145129695841
Boehmeria_celtidifolia,0.25401854439121
Boehmeria_radiata,0.210739899003502
Boehmeria_jamaicensis,0.326418013994165
Boehmeria_ramiflora,0.326418013994165
Boehmeria_polystachya,0.260348365037696
Boehmeria_longispica,0.260348365037696
Boehmeria_burgeriana,0.178403225376991
Cypholophus_brunneolus,3.14266580978945
Cypholophus_lutescens,3.14266580978945
Cypholophus_montanus,2.24236172137486
Cypholophus_latifolius,2.02529028703701
Cypholophus_warburgianus,2.02529028703701
Cypholophus_macrocephalus,1.02881450278188
Cypholophus_kerewensis,1.17066543893485
Cypholophus_englerianus,1.17066543893485
Nothocnide_repanda,0.435483154267688
Cypholophus_decipiens,0.258254181272732
Cypholophus_heterophyllus,0.212718745159913
Cypholophus_moluccanus,0.212718745159913
Nothocnide_melastomatifolia,2.39087769194347
Pipturus_kauaiensis,2.39087769194347
Pipturus_ruber,1.21436464147508
Pipturus_albidus,0.676452328172894
Pipturus_skottsbergii,0.366959206327609
Pipturus_gaudichaudianus,0.604961766875571
Pipturus_brighamii,0.604961766875571
